Week,Bin,Code,Treat,video,Arena,Fish_ID,Sex,Mark,Size,Camera,Stimulus,Day,Tank,Group_ID,Trial,MeanDist,TotalDist,MeanSpeed,MaxSpeed,MeanFreeze,FreqFreeze,TimeFreeze,PercFreeze,Freq5cm,Time5cm,Freq40cm,Time40cm,FreqNear,TimeNear,FreqMid,TimeMid,FreqFar,PercFar
1,15-18,A,Amb,zfSil,Arena 1,10,F,Gre.Yel,17.262,1,4.3,Tuesday,1,DTNG01,Trial     1,0.269965,1214.84,6.74945,29.7487,0.039998,2,0.079996,0.00739399,23,142.473,4,2.95985,6,161.512,11,9.03955,6,9.43953
1,15-18,A,Amb,zfPred,Arena 1,13,M,Bro.Pin,17.584,2,2.3,Tuesday,5,DTNG01,Trial     4,0.454643,1022.95,5.68318,18.4583,-,0,0,0,38,99.6775,0,0,3,177.436,2,2.55994,0,0
1,15-18,A,Amb,zfPred,Arena 1,15,M,Pin._,17.115,2,2.3,Tuesday,5,DTNG01,Trial     2,0.2565,577.125,3.20633,11.1834,0.079998,4,0.319992,0.0295399,11,149.676,0,0,2,173.756,2,3.75991,1,2.47994
1,15-18,A,Amb,zfSil,Arena 1,19,F,_.Pin,18.033,1,4.3,Tuesday,1,DTNG02,Trial    11,0.184771,831.471,4.61951,23.3331,-,0,0,0,12,141.353,8,7.83961,1,152.912,2,2.91985,2,24.1588
1,15-18,A,Amb,zfSil,Arena 1,24,F,_.Pur,18.46,1,4.3,Tuesday,1,DTNG02,Trial     9,0.194256,874.153,4.85665,21.9437,0.039998,2,0.079996,0.00739071,9,162.592,4,5.9997,1,169.792,1,0.919954,1,9.27954
1,15-18,A,Amb,zfPred,Arena 1,28,M,Ora.Red,14.493,2,2.3,Tuesday,5,DTNG02,Trial     8,0.31582,710.595,3.94785,21.3579,-,0,0,0,24,117.837,1,1.19997,5,168.236,5,7.35982,1,4.39989
1,15-18,A,Amb,zfPred,Arena 1,31,F,Blu.Gre,17.805,2,2.3,Tuesday,5,DTNG03,Trial    18,0.21114,475.066,2.63932,9.63011,0.342849,7,2.39994,0.222041,9,139.757,0,0,5,168.236,5,9.03977,1,2.71993
1,15-18,A,Amb,zfPred,Arena 1,35,F,Yel.Pin,20.803,2,2.3,Tuesday,5,DTNG03,Trial    16,0.388847,874.907,4.86071,22.9027,0.079998,3,0.239994,0.0221943,20,131.197,0,0,8,164.236,9,14.8796,2,0.879978
1,15-18,A,Amb,zfSil,Arena 1,39,F,Red.Pin,23.218,1,4.3,Tuesday,1,DTNG03,Trial    13,0.219738,988.822,5.49373,21.0734,0.059997,4,0.239988,0.0220799,20,113.314,4,3.9998,10,141.153,15,17.5591,6,21.2789
1,15-18,A,Amb,zfPred,Arena 1,44,M,_.Bro,16.588,2,2.3,Tuesday,5,DTNG03,Trial    10,0.410088,922.698,5.12623,13.2417,0.079998,1,0.079998,0.00739481,29,69.8383,0,0,10,165.436,9,14.5596,0,0
1,15-18,A,Amb,zfPred,Arena 1,47,F,_._,24.507,2,2.3,Tuesday,5,DTNG04,Trial    22,0.337676,759.772,4.22106,13.3498,0.079998,6,0.479988,0.0443885,7,122.557,8,9.99975,1,130.237,10,17.0396,10,32.7192
1,15-18,A,Amb,zfPred,Arena 1,50,F,Ora.Pur,19.984,2,2.3,Tuesday,5,DTNG04,Trial    20,0.372913,839.055,4.66153,20.4878,0.0914263,7,0.639984,0.0591585,17,111.277,2,0.639984,5,160.396,7,12.7197,3,6.87983
